"code","neighbor_code"
2,53
1,12
1,28
1,13
1,47
5,29
5,22
5,28
5,40
5,48
5,47
4,35
4,49
4,6
4,32
4,8
6,15
6,32
6,41
6,4
8,31
8,40
8,56
8,49
8,35
8,4
8,20
9,36
9,25
9,44
11,51
11,24
10,34
10,42
10,24
12,13
12,1
13,1
13,37
13,45
13,47
13,12
15,6
19,29
19,55
19,31
19,27
19,46
19,17
16,49
16,41
16,30
16,53
16,56
16,32
17,19
17,18
17,29
17,55
17,21
18,39
18,26
18,17
18,21
20,31
20,8
20,29
20,40
21,18
21,17
21,54
21,29
21,51
21,47
21,39
22,48
22,28
22,5
25,33
25,50
25,44
25,36
25,9
24,11
24,42
24,10
24,51
24,54
23,33
26,18
26,39
26,55
27,55
27,19
27,46
27,38
29,5
29,47
29,31
29,21
29,17
29,19
29,40
29,20
28,22
28,5
28,1
28,47
30,46
30,16
30,38
30,56
37,13
37,45
37,51
37,47
38,27
38,46
38,30
31,56
31,46
31,29
31,20
31,19
31,8
33,25
33,23
33,50
34,42
34,10
34,36
35,48
35,4
35,8
35,40
35,49
32,6
32,16
32,4
32,49
32,41
36,42
36,50
36,9
36,25
36,34
39,26
39,42
39,18
39,54
39,21
40,35
40,29
40,5
40,20
40,48
40,8
41,53
41,6
41,32
41,16
42,36
42,24
42,10
42,54
42,34
42,39
44,25
44,9
45,37
45,13
46,30
46,27
46,56
46,31
46,19
46,38
47,5
47,1
47,51
47,29
47,21
47,28
47,13
47,37
48,40
48,5
48,35
48,22
49,32
49,8
49,56
49,35
49,16
49,4
51,11
51,21
51,47
51,54
51,24
51,37
50,36
50,33
50,25
53,2
53,16
53,41
55,27
55,26
55,17
55,19
54,21
54,42
54,39
54,51
54,24
56,49
56,46
56,30
56,31
56,8
56,16
