"code","fips","name","electaral_votes"
"AL",1,"ALABAMA",9
"AK",2,"ALASKA",3
"AZ",4,"ARIZONA",11
"AR",5,"ARKANSAS",6
"CA",6,"CALIFORNIA",55
"CO",8,"COLORADO",9
"CT",9,"CONNECTICUT",7
"DE",10,"DELAWARE",3
"DC",11,"DISTRICT OF COLUMBIA",3
"FL",12,"FLORIDA",29
"GA",13,"GEORGIA",16
"HI",15,"HAWAII",4
"ID",16,"IDAHO",4
"IL",17,"ILLINOIS",20
"IN",18,"INDIANA",11
"IA",19,"IOWA",6
"KS",20,"KANSAS",6
"KY",21,"KENTUCKY",8
"LA",22,"LOUISIANA",8
"ME",23,"MAINE",4
"MD",24,"MARYLAND",10
"MA",25,"MASSACHUSETTS",11
"MI",26,"MICHIGAN",16
"MN",27,"MINNESOTA",10
"MS",28,"MISSISSIPPI",6
"MO",29,"MISSOURI",10
"MT",30,"MONTANA",3
"NE",31,"NEBRASKA",5
"NV",32,"NEVADA",6
"NH",33,"NEW HAMPSHIRE",4
"NJ",34,"NEW JERSEY",14
"NM",35,"NEW MEXICO",5
"NY",36,"NEW YORK",29
"NC",37,"NORTH CAROLINA",15
"ND",38,"NORTH DAKOTA",3
"OH",39,"OHIO",18
"OK",40,"OKLAHOMA",7
"OR",41,"OREGON",7
"PA",42,"PENNSYLVANIA",20
"RI",44,"RHODE ISLAND",4
"SC",45,"SOUTH CAROLINA",9
"SD",46,"SOUTH DAKOTA",3
"TN",47,"TENNESSEE",11
"TX",48,"TEXAS",38
"UT",49,"UTAH",6
"VT",50,"VERMONT",3
"VA",51,"VIRGINIA",13
"WA",53,"WASHINGTON",12
"WV",54,"WEST VIRGINIA",5
"WI",55,"WISCONSIN",10
"WY",56,"WYOMING",3
"",NA,"",NA
"",NA,"",NA
"",NA,"",NA
"",NA,"",NA
