"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"healthcare_life_expectancy",0.32003422022381,-0.181408911088171,0.280728300347868,-0.241355328216836,-0.351018869947467,0.765200972780365,-0.0122451089245121,0.0999313341759027,-0.0804183742896213,0.0475186996805926
"education_less_than_high_school",-0.309203850424179,-0.22412644021082,-0.434732157501022,0.0417624436046275,-0.524499698978816,-0.00990411735419683,-0.617671647367453,-0.00680487573529893,-0.0481642443411057,0.065892159792994
"health_poor_physiscal_health_days",-0.346744841037417,0.339872990510558,-0.00366714514610737,-0.0571801895523938,-0.289997757850677,0.157257844788686,0.189502442625482,0.0325064154606749,0.380712781417788,-0.685735043188387
"health_poor_mental_health_days",-0.302736224207244,0.542706417562562,0.0873604474844039,-0.0670223061101347,-0.386168960130739,-0.0532964252841373,0.292370419303015,0.156086684281,-0.299414285930343,0.500237224883551
"health_adult_smoking",-0.304453050911095,0.41032200927746,0.0134388241382077,-0.185869218626958,0.551705250527261,0.397469299984103,-0.481202860867842,-0.0235945490531221,-0.0857606693184467,0.0488661817892136
"health_teen_birth",-0.296918226660206,-0.212341515240534,-0.371754703973657,0.566360721728956,0.181945254843573,0.458763166625691,0.377830264259487,0.0744731893861733,-0.0205077832906365,0.124476375359605
"poverty_child_living_in_families",-0.341374071044743,-0.241306084409321,0.384698870043958,0.0944864779656717,-0.0181729241516218,-0.0417940223603749,0.0299300621883182,-0.316772198574809,-0.671260797980407,-0.338239136290933
"poverty_below_federal_threshold",-0.347300918525954,-0.214323965807697,0.274674822627661,-0.145094987217261,-0.029679468684443,0.041838861701044,0.0806949554404483,-0.59533752536703,0.488301194830332,0.367342664475747
"poverty_adult",-0.273285827737467,-0.351843921663879,-0.305151455831561,-0.719651037621457,0.163579235128208,-0.0469180320984551,0.295859298948586,0.249477612116138,-0.1066305815499,-0.0201079998000207
"poverty_children",-0.312087245766913,-0.255741346163653,0.519244860508595,0.170447179260997,0.0548507243970154,-0.112493649367386,-0.166397248694468,0.664405199806952,0.220107464236183,0.0727833495962314
